,school,test_optional,applies_to_class_year,policy_details,number_of_applicants,accept_rate,sat_total_middle50_percentile,act_total_middle50_percentile,city,state,zip,sat_total_25th_percentile,sat_total_75th_percentile,act_total_25th_percentile,act_total_75th_percentile,accept_rate_float,sat_school_avg,act_school_avg,should_scores_be_submitted
0,Stanford University,Yes,2021,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,4.3%,1440-1570,32-35,Stanford,CA,94305,1440.0,1570.0,32.0,35.0,0.043,1505.0,33.5,False
1,Princeton University,Yes,2021,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,5.5%,1440-1570,32-35,Princeton,NJ,08544-0070,1440.0,1570.0,32.0,35.0,0.055,1505.0,33.5,False
2,Yale University,Yes,2021,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,6.1%,1460-1570,33-35,New Haven,CT,6520,1460.0,1570.0,33.0,35.0,0.061,1515.0,34.0,False
7,Pomona College,Yes,2021,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,7.4%,1390-1540,32-35,Claremont,CA,91711-6319,1390.0,1540.0,32.0,35.0,0.07400000000000001,1465.0,33.5,False
8,University of Pennsylvania,Yes,2021,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,7.7%,1450-1560,33-35,Philadelphia,PA,19104-6303,1450.0,1560.0,33.0,35.0,0.077,1505.0,34.0,False
9,Dartmouth College,Yes,2021,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,7.9%,1440-1560,32-35,Hanover,NH,03755-3529,1440.0,1560.0,32.0,35.0,0.079,1500.0,33.5,False
10,Bowdoin College,Yes,All / Permanent Policy,Bowdoin College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.,9332,8.8%,1330-1520,31-34,Brunswick,ME,4011,1330.0,1520.0,31.0,34.0,0.08800000000000001,1425.0,32.5,False
11,Duke University,Yes,2021,Duke has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,35767,8.9%,1450-1570,33-35,Durham,NC,27708,1450.0,1570.0,33.0,35.0,0.08900000000000001,1510.0,34.0,False
12,Swarthmore College,Yes,2021 2022,Swarthmore has adopted a two-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Swarthmore will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,11442,8.9%,1380-1540,31-35,Swarthmore,PA,19081,1380.0,1540.0,31.0,35.0,0.08900000000000001,1460.0,33.0,False
13,Northwestern University,Yes,2021,Northwestern has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40585,9.1%,1440-1550,33-35,Evanston,IL,60208,1440.0,1550.0,33.0,35.0,0.091,1495.0,34.0,False
14,Vanderbilt University,Yes,2021,Vanderbilthas adopted a one-year test optional policy for all first-year and transfer applicants both domestic and international for Fall 2021 matriculation.,37310,9.1%,1460-1560,33-35,Nashville,TN,37240,1460.0,1560.0,33.0,35.0,0.091,1510.0,34.0,False
15,Claremont McKenna College,Yes,2021,Claremont McKenna College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle.,6066,10.3%,1360-1510,31-34,Claremont,CA,91711-6400,1360.0,1510.0,31.0,34.0,0.10300000000000001,1435.0,32.5,False
16,Johns Hopkins University,Yes,2021,Johns Hopkins has adopted a one-year test optional policy for the 2020-21 admission cycle.,29129,10.6%,1470-1560,33-35,Baltimore,MD,21218-2688,1470.0,1560.0,33.0,35.0,0.106,1515.0,34.0,False
17,Cornell University,Yes,2021,Cornell has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Cornell does not offer merit-based aid.,49114,10.9%,1400-1560,32-35,Ithaca,NY,14853,1400.0,1560.0,32.0,35.0,0.109,1480.0,33.5,False
18,Rice University,Yes,2021,Rice has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,20923,11.1%,1450-1560,33-35,Houston,TX,77005-1827,1450.0,1560.0,33.0,35.0,0.111,1505.0,34.0,False
19,Amherst College,Yes,2021,Amherst College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Amherst College does not offer merit-based aid.,10569,11.3%,1410-1550,31-34,Amherst,MA,01002-5000,1410.0,1550.0,31.0,34.0,0.113,1480.0,32.5,False
20,Barnard College,Yes,2021,Barnard College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Barnard College does not offer merit-based aid.,9320,11.8%,1340-1520,31-34,New York,NY,10027-6598,1340.0,1520.0,31.0,34.0,0.11800000000000001,1430.0,32.5,False
21,Bates College,Yes,All / Permanent Policy,Bates offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.,8222,12.1%,1270-1480,29-33,Lewiston,ME,4240,1270.0,1480.0,29.0,33.0,0.121,1375.0,31.0,False
22,University of Southern California,Yes,2021,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,13.0%,1350-1530,30-34,Los Angeles,CA,90089,1350.0,1530.0,30.0,34.0,0.13,1440.0,32.0,False
